#
#    File: Junk
#    Info: Surveys, Personally Untrusted Software, Search Engines, etc
# Domains: 282
# Updated: 5/14/2024  16:50 (4:50 PM CST)
#
#     RAW: https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Junk
#     Git: https://github.com/ShadowWhisperer/BlockLists.git
#

superantispyware.com                           #AntiMalware  SuperAntiSpyware
enigmasoftware.com                             #AntiMalware  SpyHunter

360.cn                                         #Antivirus    360 Total Security
360.com                                        #Antivirus    360 Total Security
360os.com                                      #Antivirus    360 Total Security
360safe.com                                    #Antivirus    360 Total Security
360totalsecurity.com                           #Antivirus    360 Total Security
adaware.com                                    #Antivirus    Adaware
lavasoft.com                                   #Antivirus    Adaware
webcompanion.com                               #Antivirus    Adaware
bitdefender.be                                 #Antivirus    BitDefender
bitdefender.com                                #Antivirus    BitDefender
bitdefender.com.au                             #Antivirus    BitDefender
bitdefender.co.uk                              #Antivirus    BitDefender
bitdefender.de                                 #Antivirus    BitDefender
bitdefender.es                                 #Antivirus    BitDefender
bitdefender.fr                                 #Antivirus    BitDefender
bitdefender.it                                 #Antivirus    BitDefender
bitdefender.net                                #Antivirus    BitDefender
bitdefender.nl                                 #Antivirus    BitDefender
bitdefender.pt                                 #Antivirus    BitDefender
bitdefender.ro                                 #Antivirus    BitDefender
bitdefender.se                                 #Antivirus    BitDefender
da3e3.net                                      #Antivirus    BitDefender
e5.sk                                          #Antivirus    Eset
eset.com                                       #Antivirus    Eset
eset.systems                                   #Antivirus    Eset
ijinshan.com                                   #Antivirus    Kingsoft
cloudantivirus.com                             #Antivirus    Panda
pandasecurity.com                              #Antivirus    Panda
pandasoftware.com                              #Antivirus    Panda
stopzilla.com                                  #Antivirus    StopZilla
totaldefense.com                               #Antivirus    Total Defense
webrootanywhere.com                            #Antivirus    Webroot
webrootcloudav.com                             #Antivirus    Webroot
webroot.com                                    #Antivirus    Webroot
webrootdns.net                                 #Antivirus    Webroot
webrootmobile.com                              #Antivirus    Webroot
webrootmultiplatform.com                       #Antivirus    Webroot

ccleanerbrowser.com                            #Browser - Ccleaner
orbitum.com                                    #Browser - Orbitum
uc.cn                                          #Browser - UC
ucweb.com                                      #Browser - UC

ad-blocker.org                                 #Browser Extension
adblock.fr                                     #Browser Extension
adgone.org                                     #Browser Extension
adzero.org                                     #Browser Extension
bleengo.com                                    #Browser Extension
getadblock.com                                 #Browser Extension
gingersoftware.com                             #Browser Extension
grammarly.com                                  #Browser Extension
grammarly.io                                   #Browser Extension
vid-adblocker.com                              #Browser Extension
video-adblock.com                              #Browser Extension


curtivendi.com.br                              #Cash Back
ebates.com                                     #Cash Back
ecbsn.com                                      #Cash Back (Ebates)
rakuten.com                                    #Cash Back
shopbackau.zendesk.com                         #Cash Back
shopback.com.au                                #Cash Back
shopback.com                                   #Cash Back
shopback.my                                    #Cash Back
shopbacksg2.zendesk.com                        #Cash Back
shopback.sg                                    #Cash Back

chatrandom.com                                 #Chatroom - Talk to random people
chatspin.com                                   #Chatroom - Talk to random people
omegle.com                                     #Chatroom - Talk to random people

befrugal.com                                   #Coupons
coupons.com                                    #Coupons
cpnscdn.com                                    #Coupons
shopathome.com                                 #Coupons
steamloto.org                                  #Coupons

pch.com                                        #Prizes / Giveaways
thedailywinnings.com                           #Prizes / Giveaways

harpquiz.com                                   #Quiz
magiquiz.com                                   #Quiz

panopto.com                                    #Screen Recorder
screencastify.com                              #Screen Recorder
techsmith.com                                  #Screen Recorder

cdntip.com                                     #Company - Shenzhen Tencent Computer Systems
cdntips.net                                    #Company - Shenzhen Tencent Computer Systems
tencent.com                                    #Company - Shenzhen Tencent Computer Systems
account-tiktok.com                             #Company - TikTok
amemv.com                                      #Company - TikTok
artistxpress.org                               #Company - TikTok
beyondthetrends-ca-tiktok.com                  #Company - TikTok
brightbeat.net                                 #Company - TikTok
bytecdn.cn                                     #Company - TikTok
bytedanceapi.com                               #Company - TikTok
bytedance.com                                  #Company - TikTok
bytedance.net                                  #Company - TikTok
bytedns.net                                    #Company - TikTok
byted.org                                      #Company - TikTok
byteeffecttos-g.com                            #Company - TikTok
byteicdn.com                                   #Company - TikTok
